domain|verdict|program_type|source_step|program_url|platform|notes
detectify.com|FOUND|PAID_BOUNTY|security_page|https://detectify.com/security|self-hosted|Found at https://detectify.com/security
darktrace.com|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
datariskmanager.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
discord.com|FOUND|PAID_BOUNTY|security_page|https://discord.com/security|self-hosted|Found at https://discord.com/security
digitalocean.com|FOUND|PAID_BOUNTY|security.txt|https://app.intigriti.com/programs/digitalocean/digitalocean|intigriti|security.txt found at https://digitalocean.com/.well-known/security.txt
coralogix.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
corelight.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
deepfence.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
dropbox.com|FOUND|PAID_BOUNTY|security.txt|https://app.intigriti.com/programs/dropbox/dropbox|intigriti|security.txt found at https://dropbox.com/.well-known/security.txt
drata.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
deepsource.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
cyberark.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
drift.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
blackbaud.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
devrev.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
claroty.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
delinea.com|NOT_FOUND|N/A|not_found|||security.txt found, contact=https://trust.delinea.com/
doppler.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
datarobot.com|NOT_FOUND|N/A|not_found|||security.txt found, contact=https://www.datarobot.com/contact-us/
